目標,請求記号,書名,著者,出版者,出版年,ISBN,紀伊國屋,カーリル
00,002-ｶ ,SDGsの時代に探究・研究を進めるガイドブック - 社会からはじまり社会にめぐる、科学の考え方,狩野光伸∥著,培風館,2022.6,9784563019334,https://www.kinokuniya.co.jp/f/dsg-01-9784563019334,https://calil.jp/book/9784563019334
00,318-ｱ ,持続可能なまちづくりとSDGs - 地域の脱炭素化、地域内グリーン経済循環、女性参画・地域共生社会を目指して,荒井壽夫∥著,八朔社,2023.8,9784860141134,https://www.kinokuniya.co.jp/f/dsg-01-9784860141134,https://calil.jp/book/9784860141134
00,333-ｲ ,SDGsの教科書 - 10代からの地球の守り方,フジテレビCSR・SDGs推進プロジェクト∥編、池上彰ほか∥著,誠文堂新光社,2022.3,9784416522165,https://www.kinokuniya.co.jp/f/dsg-01-9784416522165,https://calil.jp/book/9784416522165
00,333-ｳﾞ ,地図とデータで見るSDGsの世界ハンドブック,イヴェット・ヴェレ∥著、ポール・アルヌー∥著、蔵持不三也∥訳、クレール・ルヴァスール∥地図製作,原書房,2022.12,9784562072057,https://www.kinokuniya.co.jp/f/dsg-01-9784562072057,https://calil.jp/book/9784562072057
00,333-ｶ ,持続可能な開発目標とは何か - 2030年へ向けた変革のアジェンダ,蟹江憲史∥編著,ミネルヴァ書房,2017.3,9784623077793,https://www.kinokuniya.co.jp/f/dsg-01-9784623077793,https://calil.jp/book/9784623077793
00,333-ｻ ,社会科学からみるSDGs,桜井愛子∥編著、平体由美∥編著,小鳥遊書房,2022.4,9784909812803,https://www.kinokuniya.co.jp/f/dsg-01-9784909812803,https://calil.jp/book/9784909812803
00,333-ﾊﾞ ,60分でわかる!SDGs超入門,バウンド∥著、功能聡子∥監修、佐藤寛∥監修,技術評論社,2019.11,9784297109691,https://www.kinokuniya.co.jp/f/dsg-01-9784297109691,https://calil.jp/book/9784297109691
00,333-ﾎ ,やさしい英語でSDGs! - 地球の課題(Global Issues)を英語で学び、未来を語ろう!,本間正人∥著、山本ミッシェールのぞみ∥著,合同出版,2021.3,9784772614504,https://www.kinokuniya.co.jp/f/dsg-01-9784772614504,https://calil.jp/book/9784772614504
00,333-ﾐ ,未来を変える目標SDGsアイデアブック,Think、the、Earth∥編著、蟹江憲史∥監修、ロビン西∥マンガ,Think the Earth,2018.5,9784877385132,https://www.kinokuniya.co.jp/f/dsg-01-9784877385132,https://calil.jp/book/9784877385132
00,335-ｻ ,SDGs見るだけノート - 基礎知識とビジネスチャンスにつなげた成功事例が丸わかり!,笹谷秀光∥監修,宝島社,2020.5,9784299004512,https://www.kinokuniya.co.jp/f/dsg-01-9784299004512,https://calil.jp/book/9784299004512
